"","id_student","code_module","code_presentation","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","week1","week2","week3","week4","week5","week6","week7","week8","week9","week10","week11","week12","week13","week14","week15","week16","week17","week18","week19","week20","week21","week22","week23","week24","week25","week26","week27","week28","week29","week30","week31","week32","week33","week34","week35","week36","week37","week38","week39","assess_CMA","assess_TMA"
"1","1008675","BBB","2013B","Female","East Anglian Region","Lower Than A Level","90-100%","35-55",0,"60","N","Pass",113,42,89,190,110,36,48,57,60,63,21,42,62,40,29,11,62,52,28,36,75,39,26,69,35,122,37,18,34,25,12,66,88,39,10,0,0,0,0,88,67.6666666666667
"2","103496","BBB","2014J","Female","Ireland","Lower Than A Level","10-20%","35-55",0,"60","N","Pass",0,2,233,88,0,0,44,14,2,0,0,27,49,242,27,25,22,38,54,0,7,83,0,1,5,16,25,77,3,2,6,29,19,81,0,0,0,0,0,NA,63.2
"3","103535","BBB","2014B","Female","South West Region","A Level or Equivalent","40-50%","0-35",0,"120","N","Pass",0,15,0,0,5,39,0,0,0,12,0,64,0,2,0,0,28,0,0,0,1,66,0,0,0,0,1,62,0,0,44,5,3,2,0,0,0,0,0,100,73.8333333333333
"4","104054","BBB","2013B","Female","South East Region","Lower Than A Level","90-100%","35-55",0,"120","N","Distinction",210,153,131,18,63,127,35,13,8,40,63,63,26,13,41,20,46,2,5,37,43,21,25,44,15,20,13,6,0,23,57,19,13,2,0,0,0,0,0,100,90.1666666666667
"5","105527","BBB","2013J","Female","Scotland","HE Qualification","40-50%","35-55",0,"120","N","Pass",46,9,57,13,74,43,61,39,7,13,37,8,20,47,7,61,13,46,31,14,13,9,69,19,18,8,25,6,27,16,1,38,13,13,13,8,0,0,0,88,79.1666666666667
"6","105851","BBB","2013J","Female","West Midlands Region","A Level or Equivalent","20-30%","0-35",0,"60","Y","Pass",0,0,12,21,38,13,14,54,0,0,0,6,35,44,2,3,6,0,21,0,0,0,0,19,4,0,0,0,0,24,2,16,26,0,21,4,0,0,0,92,88.4
"7","105883","BBB","2013J","Female","North Western Region","A Level or Equivalent","0-10%","35-55",0,"60","N","Pass",48,146,77,117,385,71,307,284,158,124,78,42,24,68,92,183,49,181,128,128,93,167,49,69,74,124,28,23,147,101,90,63,92,107,55,0,0,20,0,84,70.6666666666667
"8","106095","BBB","2014J","Female","North Western Region","A Level or Equivalent","70-80%","0-35",0,"60","N","Pass",0,84,5,45,91,106,36,0,0,34,0,72,0,21,39,32,63,58,141,28,12,21,61,58,16,4,7,0,9,2,94,0,0,81,0,0,0,0,0,NA,59.6
"9","106588","BBB","2013J","Female","Scotland","A Level or Equivalent","60-70%","35-55",0,"60","N","Distinction",68,82,52,22,63,40,7,36,42,18,54,29,12,14,17,7,0,45,17,27,10,1,0,45,30,2,0,48,39,16,38,3,5,0,10,5,0,0,0,100,82
"10","106793","BBB","2014J","Male","East Anglian Region","A Level or Equivalent","60-70%","35-55",0,"60","N","Fail",147,0,1,3,7,0,0,0,2,1,1,67,57,51,1,17,0,26,0,13,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,NA,57.8
"11","108118","BBB","2013J","Female","South Region","A Level or Equivalent","90-100%","35-55",0,"60","N","Pass",25,34,15,1,40,0,0,43,11,0,0,0,43,26,1,2,0,34,0,0,22,0,73,0,0,0,0,0,0,0,23,0,0,0,3,0,0,0,0,90,85.75
"12","108377","BBB","2013B","Female","South Region","Lower Than A Level","30-40%","35-55",0,"120","Y","Pass",324,126,178,128,105,147,58,171,76,74,76,23,83,62,40,26,32,22,20,49,21,47,65,56,18,25,0,7,0,0,0,17,52,6,14,0,0,0,0,80,77.2
"13","108589","BBB","2013B","Female","Ireland","A Level or Equivalent","70-80%","0-35",0,"60","N","Pass",44,37,38,4,6,1,41,0,8,0,0,10,65,26,18,0,6,36,0,0,0,0,29,0,0,0,18,0,0,0,0,1,6,0,0,0,0,0,0,100,79.3333333333333
"14","108799","BBB","2014B","Female","Scotland","Post Graduate Qualification","90-100%","35-55",0,"75","N","Distinction",82,36,2,50,0,8,2,3,21,32,1,2,1,20,0,1,8,0,33,0,0,1,0,25,19,16,0,16,1,8,30,16,25,7,0,0,0,0,0,96,83
